protein,refseq_genbank_entry,predicted_pfam,pfam_definition,cluster_genome_accn,cluster_phage
YP_009600506.1,YP_009600506.1 baseplate wedge subunit [Acinetobacter phage WCHABP12],PF07409,Phage protein GP46,NC_041924,Acinetobacter phage WCHABP12
YP_009600530.1,YP_009600530.1 hypothetical protein FDH41_gp36 [Acinetobacter phage WCHABP12],PF04596,Poxvirus protein F15,NC_041924,Acinetobacter phage WCHABP12
YP_009600541.1,YP_009600541.1 hypothetical protein FDH41_gp47 [Acinetobacter phage WCHABP12],PF04787,Late protein H7,NC_041924,Acinetobacter phage WCHABP12
YP_009600568.1,YP_009600568.1 hypothetical protein FDH41_gp74 [Acinetobacter phage WCHABP12],PF14556,AF2331-like protein,NC_041924,Acinetobacter phage WCHABP12
YP_009600592.1,YP_009600592.1 UNVERIFIED_ORG: hypothetical protein QIH99_gp10 [Proteus phage VB_PmiS-Isfahan],PF06322,Phage NinH protein,NC_041925,Proteus phage VB_PmiS-Isfahan
YP_009600612.1,YP_009600612.1 UNVERIFIED_ORG: hypothetical protein QIH99_gp30 [Proteus phage VB_PmiS-Isfahan],PF11436,Protein of unknown function (DUF3199),NC_041925,Proteus phage VB_PmiS-Isfahan
YP_009600640.1,YP_009600640.1 UNVERIFIED_ORG: putative DNA polymerase [Proteus phage VB_PmiS-Isfahan],PF03175,DNA polymerase type B organellar and viral,NC_041925,Proteus phage VB_PmiS-Isfahan
YP_009600648.1,YP_009600648.1 UNVERIFIED_ORG: hypothetical protein QIH99_gp66 [Proteus phage VB_PmiS-Isfahan],PF06174,Protein of unknown function (DUF987),NC_041925,Proteus phage VB_PmiS-Isfahan
YP_009600665.1,YP_009600665.1 UNVERIFIED_ORG: hypothetical protein QIH99_gp83 [Proteus phage VB_PmiS-Isfahan],PF19905,Domain of unknown function (DUF6378),NC_041925,Proteus phage VB_PmiS-Isfahan
YP_009600686.1,YP_009600686.1 hypothetical protein FDH43_gp13 [Escherichia phage vB_EcoM_ECOO78],PF06006,Bacterial protein of unknown function (DUF905),NC_041926,Escherichia phage vB_EcoM_ECOO78
YP_009600688.1,YP_009600688.1 hypothetical protein FDH43_gp15 [Escherichia phage vB_EcoM_ECOO78],PF05363,Herpesvirus US12 family,NC_041926,Escherichia phage vB_EcoM_ECOO78
YP_009600689.1,YP_009600689.1 hypothetical protein FDH43_gp16 [Escherichia phage vB_EcoM_ECOO78],PF06786,Uncharacterised protein family (UPF0253),NC_041926,Escherichia phage vB_EcoM_ECOO78
YP_009600736.1,YP_009600736.1 hypothetical protein FDH44_gp007 [Sphingobium phage Lacusarx],PF06810,Phage minor structural protein GP20,NC_041927,Sphingobium phage Lacusarx
YP_009600785.1,YP_009600785.1 hypothetical protein FDH44_gp056 [Sphingobium phage Lacusarx],PF03622,IBV 3B protein,NC_041927,Sphingobium phage Lacusarx
YP_009600855.1,YP_009600855.1 hypothetical protein FDH44_gp152 [Sphingobium phage Lacusarx],PF05363,Herpesvirus US12 family,NC_041927,Sphingobium phage Lacusarx
YP_009600928.1,YP_009600928.1 virion structural protein [Staphylococcus phage phiIBB-SEP1],PF00583,Acetyltransferase (GNAT) family,NC_041928,Staphylococcus phage phiIBB-SEP1
YP_009601008.1,YP_009601008.1 hypothetical protein FDH45_gp083 [Staphylococcus phage phiIBB-SEP1],PF00738,Polyhedrin,NC_041928,Staphylococcus phage phiIBB-SEP1
YP_009601014.1,YP_009601014.1 hypothetical protein FDH45_gp089 [Staphylococcus phage phiIBB-SEP1],PF20494,Lipoprotein YfjS/YafY domain,NC_041928,Staphylococcus phage phiIBB-SEP1
YP_009601018.1,YP_009601018.1 hypothetical protein FDH45_gp093 [Staphylococcus phage phiIBB-SEP1],PF06988,NifT/FixU protein,NC_041928,Staphylococcus phage phiIBB-SEP1
YP_009601022.1,YP_009601022.1 membrane protein [Staphylococcus phage phiIBB-SEP1],PF16219,Domain of unknown function (DUF4879),NC_041928,Staphylococcus phage phiIBB-SEP1
YP_009601025.1,YP_009601025.1 membrane protein [Staphylococcus phage phiIBB-SEP1],PF04363,Protein of unknown function (DUF496),NC_041928,Staphylococcus phage phiIBB-SEP1
YP_009601054.1,YP_009601054.1 hypothetical protein FDH45_gp129 [Staphylococcus phage phiIBB-SEP1],PF11520,Chromatin protein Cren7,NC_041928,Staphylococcus phage phiIBB-SEP1
YP_009601056.1,YP_009601056.1 hypothetical protein FDH45_gp131 [Staphylococcus phage phiIBB-SEP1],PF07118,Protein of unknown function (DUF1374),NC_041928,Staphylococcus phage phiIBB-SEP1
YP_009601077.1,YP_009601077.1 hypothetical protein FDH45_gp152 [Staphylococcus phage phiIBB-SEP1],PF19186,Family of unknown function (DUF5868),NC_041928,Staphylococcus phage phiIBB-SEP1
YP_009601107.1,YP_009601107.1 hypothetical protein FDH45_gp182 [Staphylococcus phage phiIBB-SEP1],PF16857,RNA polymerase inhibitor,NC_041928,Staphylococcus phage phiIBB-SEP1
YP_009601119.1,YP_009601119.1 hypothetical protein FDH45_gp194 [Staphylococcus phage phiIBB-SEP1],PF08956,Domain of unknown function (DUF1869),NC_041928,Staphylococcus phage phiIBB-SEP1
YP_009601123.1,YP_009601123.1 membrane protein [Staphylococcus phage phiIBB-SEP1],PF04772,Influenza B matrix protein 2 (BM2),NC_041928,Staphylococcus phage phiIBB-SEP1
YP_009601136.1,YP_009601136.1 hypothetical protein FDH46_gp011 [Sinorhizobium phage phiM7],PF06855,YozE SAM-like fold,NC_041929,Sinorhizobium phage phiM7
YP_009601138.1,YP_009601138.1 hypothetical protein FDH46_gp013 [Sinorhizobium phage phiM7],PF10832,YhfG,NC_041929,Sinorhizobium phage phiM7
YP_009601140.1,YP_009601140.1 hypothetical protein FDH46_gp015 [Sinorhizobium phage phiM7],PF05854,Non-histone chromosomal protein MC1,NC_041929,Sinorhizobium phage phiM7
YP_009601144.1,YP_009601144.1 hypothetical protein FDH46_gp019 [Sinorhizobium phage phiM7],PF17412,Family of unknown function,NC_041929,Sinorhizobium phage phiM7
YP_009601149.1,YP_009601149.1 clamp loader of DNA polymerase [Sinorhizobium phage phiM7],PF17083,Nucleolar protein Swm2,NC_041929,Sinorhizobium phage phiM7
YP_009601152.1,YP_009601152.1 hypothetical protein FDH46_gp027 [Sinorhizobium phage phiM7],PF14760,Rnk N-terminus,NC_041929,Sinorhizobium phage phiM7
YP_009601166.1,YP_009601166.1 hypothetical protein FDH46_gp041 [Sinorhizobium phage phiM7],PF07417,Sigma factor-binding transcriptional regulator Crl,NC_041929,Sinorhizobium phage phiM7
YP_009601167.1,YP_009601167.1 hypothetical protein FDH46_gp042 [Sinorhizobium phage phiM7],PF05854,Non-histone chromosomal protein MC1,NC_041929,Sinorhizobium phage phiM7
YP_009601170.1,YP_009601170.1 hypothetical protein FDH46_gp045 [Sinorhizobium phage phiM7],PF06569,Protein of unknown function (DUF1128),NC_041929,Sinorhizobium phage phiM7
YP_009601180.1,YP_009601180.1 hypothetical protein FDH46_gp055 [Sinorhizobium phage phiM7],PF15701,Domain of unknown function (DUF4668),NC_041929,Sinorhizobium phage phiM7
YP_009601182.1,YP_009601182.1 hypothetical protein FDH46_gp057 [Sinorhizobium phage phiM7],PF04627,Mitochondrial ATP synthase epsilon chain,NC_041929,Sinorhizobium phage phiM7
YP_009601189.1,YP_009601189.1 hypothetical protein FDH46_gp064 [Sinorhizobium phage phiM7],PF04787,Late protein H7,NC_041929,Sinorhizobium phage phiM7
YP_009601215.1,YP_009601215.1 VrlC protein [Sinorhizobium phage phiM7],PF02368,Bacterial Ig-like domain (group 2),NC_041929,Sinorhizobium phage phiM7
YP_009601232.1,YP_009601232.1 hypothetical protein FDH46_gp107 [Sinorhizobium phage phiM7],PF02529,Cytochrome B6-F complex subunit 5,NC_041929,Sinorhizobium phage phiM7
YP_009601234.1,YP_009601234.1 hypothetical protein FDH46_gp109 [Sinorhizobium phage phiM7],PF11120,Cellulose biosynthesis protein BcsF,NC_041929,Sinorhizobium phage phiM7
YP_009601239.1,YP_009601239.1 hypothetical protein FDH46_gp114 [Sinorhizobium phage phiM7],PF06174,Protein of unknown function (DUF987),NC_041929,Sinorhizobium phage phiM7
YP_009601245.1,YP_009601245.1 hypothetical protein FDH46_gp358 [Sinorhizobium phage phiM7],PF03622,IBV 3B protein,NC_041929,Sinorhizobium phage phiM7
YP_009601246.1,YP_009601246.1 hypothetical protein FDH46_gp357 [Sinorhizobium phage phiM7],PF10781,Dextransucrase DSRB,NC_041929,Sinorhizobium phage phiM7
YP_009601257.1,YP_009601257.1 hypothetical protein FDH46_gp346 [Sinorhizobium phage phiM7],PF10911,Bacteriophage T7-like gene 6.5,NC_041929,Sinorhizobium phage phiM7
YP_009601270.1,YP_009601270.1 hypothetical protein FDH46_gp333 [Sinorhizobium phage phiM7],PF03206,Nitrogen fixation protein NifW,NC_041929,Sinorhizobium phage phiM7
YP_009601283.1,YP_009601283.1 hypothetical protein FDH46_gp320 [Sinorhizobium phage phiM7],PF11020,Domain of unknown function (DUF2610),NC_041929,Sinorhizobium phage phiM7
YP_009601284.1,YP_009601284.1 hypothetical protein FDH46_gp319 [Sinorhizobium phage phiM7],PF03513,Cloacin immunity protein,NC_041929,Sinorhizobium phage phiM7
YP_009601286.1,YP_009601286.1 hypothetical protein FDH46_gp317 [Sinorhizobium phage phiM7],PF06006,Bacterial protein of unknown function (DUF905),NC_041929,Sinorhizobium phage phiM7
YP_009601287.1,YP_009601287.1 hypothetical protein FDH46_gp316 [Sinorhizobium phage phiM7],PF17399,Domain of unknown function (DUF5405),NC_041929,Sinorhizobium phage phiM7
YP_009601295.1,YP_009601295.1 hypothetical protein FDH46_gp308 [Sinorhizobium phage phiM7],PF10622,Energy-converting hydrogenase B subunit P (EhbP),NC_041929,Sinorhizobium phage phiM7
YP_009601301.1,YP_009601301.1 hypothetical protein FDH46_gp302 [Sinorhizobium phage phiM7],PF08227,DASH complex subunit Hsk3 like,NC_041929,Sinorhizobium phage phiM7
YP_009601304.1,YP_009601304.1 hypothetical protein FDH46_gp299 [Sinorhizobium phage phiM7],PF03206,Nitrogen fixation protein NifW,NC_041929,Sinorhizobium phage phiM7
YP_009601312.1,YP_009601312.1 hypothetical protein FDH46_gp291 [Sinorhizobium phage phiM7],PF03206,Nitrogen fixation protein NifW,NC_041929,Sinorhizobium phage phiM7
YP_009601328.1,YP_009601328.1 hypothetical protein FDH46_gp275 [Sinorhizobium phage phiM7],PF14889,Penicillin-binding protein Tp47 domain a,NC_041929,Sinorhizobium phage phiM7
YP_009601341.1,YP_009601341.1 hypothetical protein FDH46_gp262 [Sinorhizobium phage phiM7],PF06006,Bacterial protein of unknown function (DUF905),NC_041929,Sinorhizobium phage phiM7
YP_009601346.1,YP_009601346.1 hypothetical protein FDH46_gp257 [Sinorhizobium phage phiM7],PF06569,Protein of unknown function (DUF1128),NC_041929,Sinorhizobium phage phiM7
YP_009601351.1,YP_009601351.1 hypothetical protein FDH46_gp252 [Sinorhizobium phage phiM7],PF17658,Family of unknown function (DUF5520),NC_041929,Sinorhizobium phage phiM7
YP_009601353.1,YP_009601353.1 hypothetical protein FDH46_gp250 [Sinorhizobium phage phiM7],PF11718,Pre-mRNA,NC_041929,Sinorhizobium phage phiM7
YP_009601357.1,YP_009601357.1 hypothetical protein FDH46_gp246 [Sinorhizobium phage phiM7],PF15041,Tektin bundle interacting protein 1,NC_041929,Sinorhizobium phage phiM7
YP_009601360.1,YP_009601360.1 hypothetical protein FDH46_gp243 [Sinorhizobium phage phiM7],PF06794,Uncharacterised protein family (UPF0270),NC_041929,Sinorhizobium phage phiM7
YP_009601378.1,YP_009601378.1 hypothetical protein FDH46_gp225 [Sinorhizobium phage phiM7],PF06786,Uncharacterised protein family (UPF0253),NC_041929,Sinorhizobium phage phiM7
YP_009601382.1,YP_009601382.1 hypothetical protein FDH46_gp221 [Sinorhizobium phage phiM7],PF04038,Dihydroneopterin aldolase,NC_041929,Sinorhizobium phage phiM7
YP_009601387.1,YP_009601387.1 hypothetical protein FDH46_gp216 [Sinorhizobium phage phiM7],PF03206,Nitrogen fixation protein NifW,NC_041929,Sinorhizobium phage phiM7
YP_009601391.1,YP_009601391.1 hypothetical protein FDH46_gp212 [Sinorhizobium phage phiM7],PF04835,A9 protein conserved region,NC_041929,Sinorhizobium phage phiM7
YP_009601396.1,YP_009601396.1 hypothetical protein FDH46_gp207 [Sinorhizobium phage phiM7],PF10465,PinA peptidase inhibitor,NC_041929,Sinorhizobium phage phiM7
YP_009601405.1,YP_009601405.1 hypothetical protein FDH46_gp198 [Sinorhizobium phage phiM7],PF06154,CbeA_antitoxin type IV cytoskeleton bundling-enhancing factor A,NC_041929,Sinorhizobium phage phiM7
YP_009601414.1,YP_009601414.1 hypothetical protein FDH46_gp189 [Sinorhizobium phage phiM7],PF04135,Nucleolar RNA-binding protein Nop10p family,NC_041929,Sinorhizobium phage phiM7
YP_009601415.1,YP_009601415.1 hypothetical protein FDH46_gp188 [Sinorhizobium phage phiM7],PF07747,MTH865-like family,NC_041929,Sinorhizobium phage phiM7
YP_009601422.1,YP_009601422.1 hypothetical protein FDH46_gp181 [Sinorhizobium phage phiM7],PF09857,Putative toxin of bacterial toxin-antitoxin pair,NC_041929,Sinorhizobium phage phiM7
YP_009601427.1,YP_009601427.1 hypothetical protein FDH46_gp176 [Sinorhizobium phage phiM7],PF09880,Predicted membrane protein (DUF2107),NC_041929,Sinorhizobium phage phiM7
YP_009601429.1,YP_009601429.1 hypothetical protein FDH46_gp174 [Sinorhizobium phage phiM7],PF17399,Domain of unknown function (DUF5405),NC_041929,Sinorhizobium phage phiM7
YP_009601449.1,YP_009601449.1 hypothetical protein FDH46_gp154 [Sinorhizobium phage phiM7],PF15075,Domain of unknown function (DUF4542),NC_041929,Sinorhizobium phage phiM7
YP_009601453.1,YP_009601453.1 hypothetical protein FDH46_gp150 [Sinorhizobium phage phiM7],PF00737,Photosystem II 10 kDa phosphoprotein,NC_041929,Sinorhizobium phage phiM7
YP_009601457.1,YP_009601457.1 hypothetical protein FDH46_gp146 [Sinorhizobium phage phiM7],PF19785,Family of unknown function (UPF0738),NC_041929,Sinorhizobium phage phiM7
YP_009601464.1,YP_009601464.1 hypothetical protein FDH46_gp139 [Sinorhizobium phage phiM7],PF15682,Musculoskeletal temporally activated-embryonic nuclear protein 1,NC_041929,Sinorhizobium phage phiM7
YP_009601465.1,YP_009601465.1 hypothetical protein FDH46_gp138 [Sinorhizobium phage phiM7],PF06786,Uncharacterised protein family (UPF0253),NC_041929,Sinorhizobium phage phiM7
YP_009601466.1,YP_009601466.1 hypothetical protein FDH46_gp137 [Sinorhizobium phage phiM7],PF05854,Non-histone chromosomal protein MC1,NC_041929,Sinorhizobium phage phiM7
YP_009601468.1,YP_009601468.1 hypothetical protein FDH46_gp135 [Sinorhizobium phage phiM7],PF06794,Uncharacterised protein family (UPF0270),NC_041929,Sinorhizobium phage phiM7
YP_009601470.1,YP_009601470.1 hypothetical protein FDH46_gp133 [Sinorhizobium phage phiM7],PF17356,Phage-like element PBSX protein XtrA,NC_041929,Sinorhizobium phage phiM7
YP_009601471.1,YP_009601471.1 hypothetical protein FDH46_gp132 [Sinorhizobium phage phiM7],PF07118,Protein of unknown function (DUF1374),NC_041929,Sinorhizobium phage phiM7
YP_009601475.1,YP_009601475.1 hypothetical protein FDH46_gp128 [Sinorhizobium phage phiM7],PF12025,Phage protein C,NC_041929,Sinorhizobium phage phiM7
YP_009601486.1,YP_009601486.1 hypothetical protein FDH46_gp117 [Sinorhizobium phage phiM7],PF07126,Cell-division protein ZapC C-terminal,NC_041929,Sinorhizobium phage phiM7
YP_009601495.1,YP_009601495.1 hypothetical protein FDH47_gp09 [Arthrobacter phage Brent],PF17891,Mu-like prophage FluMu N-terminal domain,NC_041930,Arthrobacter phage Brent
YP_009601522.1,YP_009601522.1 HTH DNA binding protein [Arthrobacter phage Brent],PF12728,Helix-turn-helix domain,NC_041930,Arthrobacter phage Brent
YP_009601524.1,YP_009601524.1 hypothetical protein FDH47_gp38 [Arthrobacter phage Brent],PF03580,Herpesvirus UL14-like protein,NC_041930,Arthrobacter phage Brent
YP_009601528.1,YP_009601528.1 hypothetical protein FDH47_gp42 [Arthrobacter phage Brent],PF08971,Glycogen synthesis protein,NC_041930,Arthrobacter phage Brent
YP_009601531.1,YP_009601531.1 hypothetical protein FDH47_gp45 [Arthrobacter phage Brent],PF17574,Inhibitor of toxin/antitoxin system (Gp4.5),NC_041930,Arthrobacter phage Brent
YP_009601532.1,YP_009601532.1 hypothetical protein FDH47_gp46 [Arthrobacter phage Brent],PF17552,Family of unknown function (DUF5464),NC_041930,Arthrobacter phage Brent
YP_009601545.1,YP_009601545.1 DNA binding protein [Arthrobacter phage Brent],PF17466,Family of unknown function,NC_041930,Arthrobacter phage Brent
YP_009601570.1,YP_009601570.1 hypothetical protein FDH48_gp10 [Arthrobacter phage Jawnski],PF05926,Phage head completion protein (GPL),NC_041931,Arthrobacter phage Jawnski
YP_009601572.1,YP_009601572.1 hypothetical protein FDH48_gp12 [Arthrobacter phage Jawnski],PF06891,P2 phage tail completion protein R (GpR),NC_041931,Arthrobacter phage Jawnski
YP_009601651.1,YP_009601651.1 hypothetical protein FDH49_gp18 [Arthrobacter phage Martha],PF08136,30S ribosomal protein subunit S22 family,NC_041932,Arthrobacter phage Martha
YP_009601652.1,YP_009601652.1 tail length tape measure protein [Arthrobacter phage Martha],PF10145,Phage-related minor tail protein,NC_041932,Arthrobacter phage Martha
YP_009601674.1,YP_009601674.1 hypothetical protein FDH49_gp41 [Arthrobacter phage Martha],PF11438,36-mer N-terminal peptide of the N protein (N36),NC_041932,Arthrobacter phage Martha
YP_009601686.1,YP_009601686.1 hypothetical protein FDH49_gp53 [Arthrobacter phage Martha],PF07126,Cell-division protein ZapC C-terminal,NC_041932,Arthrobacter phage Martha
YP_009601687.1,YP_009601687.1 hypothetical protein FDH49_gp54 [Arthrobacter phage Martha],PF11603,Sir1 ORC-binding domain,NC_041932,Arthrobacter phage Martha
YP_009601689.1,YP_009601689.1 hypothetical protein FDH49_gp56 [Arthrobacter phage Martha],PF19785,Family of unknown function (UPF0738),NC_041932,Arthrobacter phage Martha
YP_009601691.1,YP_009601691.1 hypothetical protein FDH49_gp58 [Arthrobacter phage Martha],PF03622,IBV 3B protein,NC_041932,Arthrobacter phage Martha
YP_009601693.1,YP_009601693.1 hypothetical protein FDH49_gp60 [Arthrobacter phage Martha],PF02957,TT viral ORF2,NC_041932,Arthrobacter phage Martha
YP_009601698.1,YP_009601698.1 hypothetical protein FDH49_gp65 [Arthrobacter phage Martha],PF10788,Protein of unknown function (DUF2603),NC_041932,Arthrobacter phage Martha
YP_009601701.1,YP_009601701.1 hypothetical protein FDH49_gp68 [Arthrobacter phage Martha],PF00721,Virus coat protein (TMV like),NC_041932,Arthrobacter phage Martha
YP_009601703.1,YP_009601703.1 hypothetical protein FDH49_gp70 [Arthrobacter phage Martha],PF10224,Short coiled-coil protein,NC_041932,Arthrobacter phage Martha
YP_009601795.1,,,,NC_041934,Pseudomonas phage LKO4
YP_009601819.1,,,,NC_041934,Pseudomonas phage LKO4
YP_009601822.1,,,,NC_041934,Pseudomonas phage LKO4
YP_009601826.1,,,,NC_041934,Pseudomonas phage LKO4
YP_009601827.1,,,,NC_041934,Pseudomonas phage LKO4
YP_009601829.1,,,,NC_041934,Pseudomonas phage LKO4
YP_009601834.1,,,,NC_041934,Pseudomonas phage LKO4
YP_009601936.1,YP_009601936.1 hypothetical protein FDH52_gp78 [Escherichia phage PA28],PF02529,Cytochrome B6-F complex subunit 5,NC_041935,Escherichia phage PA28
YP_009601940.1,YP_009601940.1 terminase [Escherichia phage PA28],PF10668,Phage terminase small subunit,NC_041935,Escherichia phage PA28
YP_009601957.1,YP_009601957.1 tail fiber protein [Escherichia phage PA28],PF07140,Interferon gamma receptor (IFNGR1) D2 domain,NC_041935,Escherichia phage PA28
YP_009601974.1,YP_009601974.1 hypothetical protein FDH53_gp009 [Escherichia phage ECD7],PF06794,Uncharacterised protein family (UPF0270),NC_041936,Escherichia phage ECD7
YP_009602008.1,YP_009602008.1 hypothetical protein FDH53_gp043 [Escherichia phage ECD7],PF06183,DinI-like family,NC_041936,Escherichia phage ECD7
